 schemaname |        tablename        |                 policyname                  | permissive |  roles   | cmd |                                                                qual                                                                |                                                           with_check                                                           
 public     | email_verification_logs | email_verification_logs_workspace_isolation | PERMISSIVE | {public} | ALL | ((workspace_id)::text = NULLIF(current_setting('app.current_workspace_id'::text, true), ''::text))                                 | ((workspace_id)::text = NULLIF(current_setting('app.current_workspace_id'::text, true), ''::text))
 public     | email_warmup_pools      | email_warmup_pools_workspace_isolation      | PERMISSIVE | {public} | ALL | ((workspace_id)::text = NULLIF(current_setting('app.current_workspace_id'::text, true), ''::text))                                 | ((workspace_id)::text = NULLIF(current_setting('app.current_workspace_id'::text, true), ''::text))
 public     | health_practitioners    | health_practitioners_workspace_isolation    | PERMISSIVE | {public} | ALL | ((workspace_id)::text = NULLIF(current_setting('app.current_workspace_id'::text, true), ''::text))                                 | ((workspace_id)::text = NULLIF(current_setting('app.current_workspace_id'::text, true), ''::text))
 public     | invitations             | invitations_workspace_isolation             | PERMISSIVE | {public} | ALL | ((workspace_id)::text = NULLIF(current_setting('app.current_workspace_id'::text, true), ''::text))                                 | ((workspace_id)::text = NULLIF(current_setting('app.current_workspace_id'::text, true), ''::text))
 public     | journalists             | journalists_workspace_isolation             | PERMISSIVE | {public} | ALL | ((workspace_id)::text = NULLIF(current_setting('app.current_workspace_id'::text, true), ''::text))                                 | ((workspace_id)::text = NULLIF(current_setting('app.current_workspace_id'::text, true), ''::text))
 public     | linkedin_accounts       | linkedin_accounts_workspace_isolation       | PERMISSIVE | {public} | ALL | ((workspace_id)::text = NULLIF(current_setting('app.current_workspace_id'::text, true), ''::text))                                 | ((workspace_id)::text = NULLIF(current_setting('app.current_workspace_id'::text, true), ''::text))
 public     | linkedin_invitations    | linkedin_invitations_workspace_isolation    | PERMISSIVE | {public} | ALL | ((workspace_id)::text = NULLIF(current_setting('app.current_workspace_id'::text, true), ''::text))                                 | ((workspace_id)::text = NULLIF(current_setting('app.current_workspace_id'::text, true), ''::text))
 public     | linkedin_messages       | linkedin_messages_workspace_isolation       | PERMISSIVE | {public} | ALL | ((workspace_id)::text = NULLIF(current_setting('app.current_workspace_id'::text, true), ''::text))                                 | ((workspace_id)::text = NULLIF(current_setting('app.current_workspace_id'::text, true), ''::text))
 public     | linkedin_profiles_cache | linkedin_profiles_cache_workspace_isolation | PERMISSIVE | {public} | ALL | ((workspace_id)::text = NULLIF(current_setting('app.current_workspace_id'::text, true), ''::text))                                 | ((workspace_id)::text = NULLIF(current_setting('app.current_workspace_id'::text, true), ''::text))
 public     | linkedin_sequences      | linkedin_sequences_workspace_isolation      | PERMISSIVE | {public} | ALL | ((workspace_id)::text = NULLIF(current_setting('app.current_workspace_id'::text, true), ''::text))                                 | ((workspace_id)::text = NULLIF(current_setting('app.current_workspace_id'::text, true), ''::text))
