         table_name         |         column_name          |        data_type         | prec |            defaut             
 users                      | first_login_completed_at     | timestamp with time zone | 6    | (aucun)
 users                      | last_login_at                | timestamp with time zone | 6    | (aucun)
 users                      | locked_until                 | timestamp with time zone | 6    | (aucun)
 users                      | onboarding_tour_completed_at | timestamp with time zone | 6    | (aucun)
 users                      | totp_enabled_at              | timestamp with time zone | 6    | (aucun)
 users                      | updated_at                   | timestamp with time zone | 6    | now()
 web_vital_samples          | created_at                   | timestamp with time zone | 6    | now()
 workspaces                 | created_at                   | timestamp with time zone | 6    | now()
 workspaces                 | deleted_at                   | timestamp with time zone | 6    | (aucun)
 workspaces                 | updated_at                   | timestamp with time zone | 6    | now()
(206 rows)

